kbjd,flux,ferr
742.473962581, 147149.3125, 10.6603450775
742.494395821, 147152.03125, 10.6615629196
742.514828863, 147129.59375, 10.6601400375
742.535262104, 147167.515625, 10.6609582901
742.555695246, 147145.328125, 10.6577301025
742.576128288, 147111.015625, 10.6599597931
742.59656153, 147138.40625, 10.6616897583
742.616994673, 147136.4375, 10.6593265533
742.637427716, 147156.078125, 10.6605854034
742.657860959, 147102.9375, 10.660941124
742.678294103, 147094.96875, 10.6605558395
742.698727346, 147155.21875, 10.6598033905
742.719160391, 147188.15625, 10.6596851349
742.739593535, 147124.328125, 10.6606082916
742.76002678, 147127.921875, 10.6589021683
742.780459825, 147125.765625, 10.6602325439
742.800892971, 147122.890625, 10.6616601944
742.821326216, 147110.71875, 10.6584100723
742.841759263, 147157.9375, 10.6615657806
742.862192409, 147201.765625, 10.6617202759
742.882625556, 147132.125, 10.6588993073
742.903058703, 147166.390625, 10.66065979
742.92349195, 147120.6875, 10.6616392136
742.943924998, 147139.28125, 10.6609745026
742.964358146, 147122.34375, 10.6609992981
742.984791394, 147152.25, 10.661236763
743.005224543, 147168.921875, 10.6603660583
743.025657592, 147159.71875, 10.6605434418
743.046090841, 147165.515625, 10.6618385315
743.06652399, 147139.5625, 10.6606779099
743.08695704, 147151.359375, 10.6601705551
743.10739029, 147125.421875, 10.6609859467
743.127823441, 147128.734375, 10.6614027023
743.148256692, 147162.90625, 10.660700798
743.168689743, 147109.28125, 10.6609096527
743.189122894, 147200.6875, 10.6603822708
743.209556146, 147133.0625, 10.6583309174
743.229989198, 147158.65625, 10.6600408554
743.250422351, 147137.46875, 10.6599969864
743.291288656, 147073.9375, 10.6586675644
743.31172191, 147074.59375, 10.6596641541
743.332155063, 147113.453125, 10.6597127914
743.352588117, 147154.609375, 10.6604862213
743.373021372, 147136.375, 10.6591072083
743.393454526, 147182.6875, 10.6601915359
743.413887581, 147172.4375, 10.660738945
743.434320837, 147155.453125, 10.6598415375
743.454753992, 147179.921875, 10.6613483429
743.475187048, 147170.46875, 10.6618728638
743.495620304, 147153.953125, 10.6609277725
743.516053461, 147115.640625, 10.6611814499
743.536486617, 147121.484375, 10.6607093811
743.556919775, 147125.8125, 10.6616630554
743.577352932, 147135.9375, 10.6598806381
743.59778609, 147200.078125, 10.6588888168
743.618219248, 147161.90625, 10.6617622375
743.638652406, 147150.484375, 10.6598424911
743.659085565, 147126.5625, 10.6597328186
743.679518724, 147172.484375, 10.6614961624
743.699951983, 147136.125, 10.6604585648
743.720385143, 147128.65625, 10.6626844406
743.740818203, 147080.34375, 10.6614894867
743.761251463, 147139.359375, 10.6610326767
743.781684624, 147085.71875, 10.6607570648
743.802117685, 147098.203125, 10.66203022
743.822550946, 147109.296875, 10.660651207
743.842984108, 147157.5625, 10.6618080139
743.86341717, 147165.671875, 10.6604194641
743.883850432, 147126.828125, 10.6603813171
743.904283594, 147135.0625, 10.6619720459
743.924716857, 147101.90625, 10.6614761353
743.94514992, 147127.03125, 10.6631860733
743.965583084, 147119.625, 10.6618175507
743.986016348, 147105.84375, 10.6605138779
744.006449412, 147117.328125, 10.6609792709
744.026882576, 147131.46875, 10.6618804932
744.047315741, 147128.765625, 10.6619167328
744.067748906, 147148.3125, 10.6622896194
744.088182071, 147132.1875, 10.6600379944
744.108615337, 147174.140625, 10.6615362167
744.129048403, 147156.53125, 10.6597490311
744.149481669, 147175.890625, 10.6602687836
744.169914836, 147131.484375, 10.661775589
744.190347903, 147127.390625, 10.6594581604
744.21078117, 147165.28125, 10.6611013412
744.231214338, 147152.28125, 10.6600933075
744.251647406, 147099.3125, 10.660692215
744.272080674, 147112.125, 10.6584978104
744.292513843, 147155.15625, 10.6593036652
744.312947111, 147127.21875, 10.6601552963
744.333380181, 147126.78125, 10.6606273651
744.35381335, 147127.890625, 10.6585826874
744.37424662, 147209.84375, 10.6602420807
744.39467969, 147115.234375, 10.6609916687
744.415112861, 147139.5, 10.6607341766
744.435546131, 147157.671875, 10.6607437134
744.455979202, 147162.71875, 10.6593942642
744.476412374, 147153.453125, 10.6593751907
744.496845646, 147126.15625, 10.6609096527
744.517278718, 147114.28125, 10.660279274
744.53771199, 147151.625, 10.6611709595
744.558145163, 147135.953125, 10.659828186
744.578578236, 147092.140625, 10.6621637344
744.599011509, 147106.484375, 10.6614532471
744.619444683, 147138.03125, 10.65853405
744.639877857, 147175.65625, 10.6591539383
744.660311031, 147138.203125, 10.6592388153
744.680744206, 147129.28125, 10.6614179611
744.701177381, 147134.78125, 10.6590557098
744.721610556, 147099.109375, 10.6613616943
744.742043731, 147138.734375, 10.6594924927
744.762476907, 147077.859375, 10.6596746445
744.782910083, 147086.75, 10.6606903076
744.80334326, 147150.890625, 10.6599340439
744.823776437, 147126.453125, 10.6593589783
