kbjd,flux,ferr
547.133351069, 150362.890625, 10.4229536057
547.153785128, 150373.4375, 10.4229774475
547.174219388, 150346.171875, 10.4230031967
547.194653547, 150357.765625, 10.4230270386
547.215087706, 150402.953125, 10.4230518341
547.235521864, 150322.8125, 10.423075676
547.255956023, 150378.765625, 10.4231014252
547.276390181, 150381.09375, 10.423125267
547.296824339, 150348.65625, 10.4231510162
547.317258497, 150347.609375, 10.4231472015
547.337692654, 150331.96875, 10.4231433868
547.358126812, 150336.234375, 10.4231395721
547.378560869, 150297.875, 10.4231357574
547.398995125, 150365.0, 10.4231328964
547.419429282, 150376.15625, 10.4231290817
547.439863338, 150363.5625, 10.423125267
547.460297594, 150330.828125, 10.4231214523
547.48073175, 150319.421875, 10.4231185913
547.501166005, 150364.671875, 10.4231157303
547.521600061, 150292.78125, 10.4231119156
547.542034216, 150346.640625, 10.4231090546
547.562468471, 150323.8125, 10.4231052399
547.582902525, 150346.828125, 10.4231014252
547.60333668, 150291.65625, 10.4230976105
547.623770934, 150270.78125, 10.4230937958
547.644204988, 150263.296875, 10.4230909348
547.664639141, 150297.625, 10.4230871201
547.685073395, 150298.890625, 10.4230833054
547.705507548, 150303.34375, 10.423081398
547.7259416, 150312.25, 10.423075676
547.746375853, 150311.296875, 10.4230737686
547.766810006, 150354.5625, 10.4230699539
547.787244058, 150342.421875, 10.4230661392
547.80767831, 150313.375, 10.4231281281
547.828112461, 150347.078125, 10.4231901169
547.848546713, 150347.96875, 10.423251152
547.868980764, 150337.875, 10.4233140945
547.889414915, 150333.578125, 10.4233760834
547.909849165, 150338.046875, 10.4234380722
547.930283216, 150279.484375, 10.423500061
547.950717366, 150319.71875, 10.4235620499
547.971151516, 150317.640625, 10.4236240387
547.991585666, 150329.84375, 10.4236850739
548.012019715, 150383.515625, 10.4237480164
548.032453964, 150370.859375, 10.4238090515
548.052888113, 150365.203125, 10.423871994
548.073322262, 150382.828125, 10.4239339828
548.09375641, 150377.140625, 10.423995018
548.114190559, 150325.421875, 10.4240579605
548.134624807, 150361.46875, 10.4241189957
548.155058854, 150331.90625, 10.4241819382
548.175493002, 150354.6875, 10.4242429733
548.195927249, 150334.328125, 10.4243059158
548.216361396, 150377.953125, 10.424366951
548.236795443, 150321.390625, 10.4244289398
548.257229689, 150320.4375, 10.4244918823
548.277663836, 150341.453125, 10.4245529175
548.298097882, 150377.59375, 10.4244365692
548.318532127, 150368.78125, 10.4243202209
548.338966273, 150372.046875, 10.424202919
548.359400318, 150364.625, 10.4240875244
548.379834563, 150363.140625, 10.4239711761
548.400268708, 150375.359375, 10.4238548279
548.420702753, 150357.4375, 10.4237384796
548.441136997, 150386.203125, 10.4236221313
548.461571141, 150344.859375, 10.4235048294
548.482005385, 150331.453125, 10.4233884811
548.502439428, 150353.609375, 10.4232721329
548.522873572, 150339.46875, 10.4231557846
548.543307815, 150400.21875, 10.4230384827
548.563741857, 150371.65625, 10.4229221344
548.584176, 150368.140625, 10.4228057861
548.604610242, 150348.15625, 10.4226894379
548.625044284, 150371.453125, 10.4225740433
548.645478426, 150355.984375, 10.422457695
548.665912568, 150357.828125, 10.4223403931
548.686346709, 150356.90625, 10.4222240448
548.70678085, 150316.046875, 10.4221076965
548.727214991, 150324.75, 10.4219913483
548.747649132, 150354.5625, 10.4218740463
548.768083372, 150339.203125, 10.4217576981
548.788517512, 150324.46875, 10.4217472076
548.808951552, 150375.546875, 10.4217348099
548.829385792, 150365.921875, 10.4217243195
548.849819931, 150315.703125, 10.421713829
548.87025397, 150377.75, 10.4217014313
548.890688209, 150373.03125, 10.4216909409
548.911122348, 150333.203125, 10.4216785431
548.931556386, 150317.90625, 10.4216680527
548.951990624, 150353.34375, 10.4216556549
548.972424762, 150374.421875, 10.4216451645
548.992858799, 150354.140625, 10.4216337204
549.013293037, 150328.125, 10.4216222763
549.033727174, 150342.34375, 10.4216098785
549.054161311, 150377.046875, 10.4215993881
549.074595447, 150319.234375, 10.4215888977
549.095029584, 150345.234375, 10.4215764999
549.11546382, 150344.59375, 10.4215660095
549.135897856, 150296.921875, 10.4215536118
549.156331992, 150374.203125, 10.4215431213
549.176766227, 150310.328125, 10.4215307236
549.197200362, 150366.359375, 10.4215202332
549.217634397, 150349.53125, 10.4215087891
549.238068632, 150353.671875, 10.421497345
549.258502766, 150314.296875, 10.4214859009
549.2789368, 150283.328125, 10.4214410782
549.299371034, 150313.5, 10.4213962555
549.319805168, 150313.796875, 10.4213504791
549.340239201, 150331.640625, 10.4213056564
549.360673434, 150297.0625, 10.4212608337
549.381107467, 150314.359375, 10.421216011
549.4015417, 150301.0, 10.4211702347
549.421975832, 150327.703125, 10.421125412
549.442409865, 150278.046875, 10.4210805893
549.462844096, 150339.484375, 10.4210348129
549.483278228, 150314.328125, 10.4209899902
549.503712259, 150338.21875, 10.4209442139
549.524146491, 150340.578125, 10.4209003448
549.544580622, 150327.734375, 10.4208545685
549.565014652, 150382.703125, 10.4208097458
549.585448883, 150291.328125, 10.4207639694
549.605883013, 150312.75, 10.4207201004
549.626317143, 150259.0, 10.420674324
549.646751272, 150318.171875, 10.4206295013
549.667185402, 150249.125, 10.420583725
549.687619531, 150259.828125, 10.420539856
549.70805376, 150266.765625, 10.4204940796
549.728487789, 150296.84375, 10.4204483032
549.748922017, 150312.0, 10.4204034805
549.769356145, 150311.015625, 10.4204339981
549.789790173, 150323.203125, 10.420463562
549.810224401, 150303.046875, 10.4204921722
549.830658528, 150334.578125, 10.4205226898
549.851092555, 150274.8125, 10.4205522537
549.871526782, 150251.578125, 10.4205827713
549.891960909, 150296.703125, 10.4206113815
549.912394935, 150296.5, 10.4206418991
549.932829161, 150311.921875, 10.420671463
549.953263287, 150324.84375, 10.4207019806
549.973697313, 150348.359375, 10.4207305908
549.994131539, 150321.90625, 10.4207601547
550.014565664, 150346.9375, 10.4207906723
550.034999789, 150344.015625, 10.4208202362
550.075868038, 150322.4375, 10.420879364
550.096302162, 150346.234375, 10.4209098816
550.116736286, 150329.859375, 10.4209394455
550.137170409, 150330.140625, 10.4209680557
550.157604533, 150334.125, 10.4209985733
550.178038656, 150319.1875, 10.4210281372
550.198472779, 150302.84375, 10.4210586548
550.218907002, 150264.453125, 10.421087265
550.239341024, 150297.421875, 10.4211177826
550.259775146, 150312.21875, 10.4210443497
550.280209368, 150247.546875, 10.4209709167
550.30064339, 150298.265625, 10.4208974838
550.321077511, 150292.90625, 10.4208240509
550.341511732, 150324.90625, 10.420750618
550.361945753, 150269.75, 10.4206771851
550.382379974, 150301.96875, 10.4206047058
550.402814094, 150256.3125, 10.4205312729
550.423248115, 150275.734375, 10.42045784
550.443682334, 150289.8125, 10.420384407
550.464116454, 150293.640625, 10.4203109741
550.484550473, 150297.921875, 10.4202375412
550.504984693, 150323.953125, 10.4201641083
550.525418811, 150299.234375, 10.420091629
550.54585293, 150285.203125, 10.4200181961
550.566287048, 150345.640625, 10.4199447632
